Categoria,Cantabria - 1T-19,Cantabria - 2T-19,Cantabria - 3T-19,Cantabria - 4T-19,Cantabria - 1T-20, - Indicadores,España - 1T-19,España - 2T-19,España - 3T-19,España - 4T-19,España - 1T-20
Economía,1,1,1,1,1,Deuda,1,1,1,1,1
Economía,1,1,1,1,1,Deuda sobre el PIB,1,1,1,1,1
Empresas y establecimientos,1,1,1,1,1,Índice de confianza empresarial,1,1,1,1,1
Mercado de Trabajo,1,1,1,1,1,EPA. Ocupados,1,1,1,1,1
Mercado de Trabajo,1,1,1,1,1,EPA. Parados,1,1,1,1,1
Mercado de Trabajo,1,1,1,1,1,EPA. Tasa de Empleo,1,1,1,1,1
Mercado de Trabajo,1,1,1,1,1,EPA. Tasa de paro,1,1,1,1,1
Servicios,1,1,1,1,1,Transporte de mercancías por carretera,1,1,1,1,1
